,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Last Seen
31,26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,2020-01-14 14:00:00
32,27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,2020-02-04 18:00:00
33,28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,2020-01-09 04:00:00
34,29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,2020-02-02 15:00:00
35,30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,2020-01-21 18:00:00
36,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,2020-01-01 17:00:00
37,32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,2020-01-16 00:00:00
38,33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,2020-02-11 04:00:00
39,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,2020-02-03 15:00:00
40,35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,2020-02-16 18:00:00
41,36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,2020-02-23 04:00:00
42,37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,2020-01-27 22:00:00
43,38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,2020-01-26 20:00:00
44,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,2020-02-14 18:00:00
45,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,2020-01-23 16:00:00
46,41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,2020-02-10 22:00:00
47,42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,2020-02-12 00:00:00
48,43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,2020-01-13 07:00:00
49,44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,2020-01-22 23:00:00
50,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,2020-01-20 22:00:00
51,46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,2020-01-24 03:00:00
52,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,2020-02-15 06:00:00
53,48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,2020-02-17 08:00:00
54,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,2020-02-12 05:00:00
55,50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,2020-02-04 17:00:00
56,51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,2020-02-13 04:00:00
57,52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,2020-02-14 03:00:00
58,53,Persian,Normal,,440,65,70,60,65,65,115,1,False,2020-01-26 01:00:00
59,54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,2020-01-14 21:00:00
60,55,Golduck,Water,,500,80,82,78,95,80,85,1,False,2020-02-17 12:00:00
61,56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,2020-02-14 02:00:00
62,57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,2020-01-28 11:00:00
63,58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,2020-02-01 19:00:00
64,59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,2020-01-28 22:00:00
65,60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,2020-02-07 20:00:00
66,61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,2020-01-23 07:00:00
67,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,2020-01-29 20:00:00
68,63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,2020-02-07 03:00:00
69,64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,2020-01-31 13:00:00
70,65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,2020-01-17 10:00:00
71,65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False,2020-01-22 10:00:00
72,66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,2020-03-12 09:00:00
73,67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,2020-02-08 19:00:00
74,68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,2020-01-25 03:00:00
75,69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,2020-01-31 10:00:00
76,70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,2020-02-11 23:00:00
77,71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,2020-01-22 04:00:00
78,72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,2020-01-24 16:00:00
79,73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,2020-01-13 20:00:00
80,74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,2020-02-13 07:00:00
81,75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,2020-02-04 03:00:00
82,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,2020-01-26 16:00:00
83,77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,2020-02-07 10:00:00
84,78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,2020-02-15 23:00:00
85,79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,2020-01-17 12:00:00
86,80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,2020-02-13 21:00:00
87,80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False,2020-01-20 11:00:00
88,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,2020-01-28 04:00:00
89,82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,2020-02-05 22:00:00
90,83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,2020-02-05 08:00:00
91,84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,2020-02-20 22:00:00
92,85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,2020-02-09 17:00:00
93,86,Seel,Water,,325,65,45,55,45,70,45,1,False,2020-01-29 22:00:00
94,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,2020-01-03 00:00:00
95,88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,2020-01-31 06:00:00
96,89,Muk,Poison,,500,105,105,75,65,100,50,1,False,2020-02-09 06:00:00
97,90,Shellder,Water,,305,30,65,100,45,25,40,1,False,2020-02-23 15:00:00
98,91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,2020-01-27 05:00:00
99,92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,2020-02-04 15:00:00
100,93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,2020-01-22 09:00:00
101,94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,2020-02-09 18:00:00
102,94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False,2020-02-11 11:00:00
103,95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,2020-02-13 20:00:00
104,96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,2020-02-22 08:00:00
105,97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,2020-02-06 08:00:00
106,98,Krabby,Water,,325,30,105,90,25,25,50,1,False,2020-02-09 21:00:00
107,99,Kingler,Water,,475,55,130,115,50,50,75,1,False,2020-02-06 14:00:00
108,100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,2020-01-26 00:00:00
109,101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,2020-01-20 18:00:00
110,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,2020-02-08 10:00:00
111,103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,2020-02-05 05:00:00
112,104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,2020-02-16 17:00:00
113,105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,2020-01-25 12:00:00
114,106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,2020-02-20 01:00:00
115,107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,2020-01-26 01:00:00
116,108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,2020-01-12 02:00:00
117,109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,2020-02-03 09:00:00
118,110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,2020-02-13 16:00:00
119,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,2020-01-28 13:00:00
120,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,2020-02-09 19:00:00
121,113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,2020-01-23 21:00:00
122,114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,2020-01-13 20:00:00
123,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,2020-02-01 11:00:00
124,115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False,2020-02-08 10:00:00
125,116,Horsea,Water,,295,30,40,70,70,25,60,1,False,2020-01-08 23:00:00
126,117,Seadra,Water,,440,55,65,95,95,45,85,1,False,2020-02-20 11:00:00
127,118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,2020-02-16 05:00:00
128,119,Seaking,Water,,450,80,92,65,65,80,68,1,False,2020-02-21 12:00:00
129,120,Staryu,Water,,340,30,45,55,70,55,85,1,False,2020-01-24 01:00:00
130,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,2020-02-11 04:00:00
131,122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,2020-02-21 01:00:00
132,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,2020-02-17 17:00:00
133,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,2020-02-24 12:00:00
134,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,2020-01-24 17:00:00
135,126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,2020-01-24 15:00:00
136,127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,2020-01-20 03:00:00
137,127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False,2020-03-04 01:00:00
138,128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,2020-02-21 13:00:00
139,129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,2020-02-04 20:00:00
140,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,2020-01-27 03:00:00
141,130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,2020-01-08 08:00:00
142,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,2020-01-15 11:00:00
143,132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,2020-02-12 18:00:00
144,133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,2020-01-02 06:00:00
145,134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,2020-01-27 14:00:00
146,135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,2020-02-17 01:00:00
147,136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,2020-01-10 06:00:00
148,137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,2020-02-21 00:00:00
149,138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,2020-01-24 11:00:00
150,139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,2020-01-20 05:00:00
151,140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,2020-01-24 15:00:00
152,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,2020-01-24 03:00:00
153,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,2020-02-06 06:00:00
154,142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False,2020-01-28 08:00:00
155,143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,2020-02-14 14:00:00
156,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,2020-01-29 09:00:00
157,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,2020-02-10 17:00:00
158,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,2020-02-12 03:00:00
159,147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,2020-02-16 16:00:00
160,148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,2020-01-16 05:00:00
161,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,2020-02-13 23:00:00
162,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,2020-02-07 01:00:00
163,150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True,2020-01-21 07:00:00
164,150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True,2020-02-17 06:00:00
165,151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,2020-02-02 09:00:00
166,152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,2020-05-19 20:00:00
167,153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,2020-05-25 19:00:00
168,154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,2020-06-25 21:00:00
169,155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,2020-06-01 15:00:00
170,156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,2020-06-02 01:00:00
171,157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,2020-05-08 15:00:00
172,158,Totodile,Water,,314,50,65,64,44,48,43,2,False,2020-06-04 17:00:00
173,159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,2020-05-02 20:00:00
174,160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,2020-06-11 08:00:00
175,161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,2020-05-28 21:00:00
176,162,Furret,Normal,,415,85,76,64,45,55,90,2,False,2020-06-11 04:00:00
177,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,2020-06-06 06:00:00
178,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,2020-05-17 17:00:00
179,165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,2020-06-01 05:00:00
180,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,2020-05-02 05:00:00
181,167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,2020-05-14 04:00:00
182,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,2020-06-08 05:00:00
183,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,2020-06-07 10:00:00
184,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,2020-06-05 20:00:00
185,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,2020-04-25 09:00:00
186,172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,2020-05-31 02:00:00
187,173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,2020-06-03 11:00:00
188,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,2020-05-29 21:00:00
189,175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,2020-06-07 10:00:00
190,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,2020-05-31 22:00:00
191,177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,2020-04-18 22:00:00
192,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,2020-06-13 19:00:00
193,179,Mareep,Electric,,280,55,40,40,65,45,35,2,False,2020-06-08 02:00:00
194,180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,2020-06-11 20:00:00
195,181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,2020-06-24 20:00:00
196,181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False,2020-05-28 21:00:00
197,182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,2020-06-02 21:00:00
198,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,2020-06-09 13:00:00
199,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,2020-05-24 16:00:00
200,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,2020-05-27 19:00:00
201,186,Politoed,Water,,500,90,75,75,90,100,70,2,False,2020-05-10 08:00:00
202,187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,2020-05-08 00:00:00
203,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,2020-05-06 20:00:00
204,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,2020-06-13 18:00:00
205,190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,2020-05-18 15:00:00
206,191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,2020-05-19 00:00:00
207,192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,2020-05-14 05:00:00
208,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,2020-05-01 13:00:00
209,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,2020-06-09 21:00:00
210,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,2020-06-03 16:00:00
211,196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,2020-06-07 21:00:00
212,197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,2020-05-25 02:00:00
213,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,2020-06-08 14:00:00
214,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,2020-05-30 06:00:00
215,200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,2020-06-06 13:00:00
216,201,Unown,Psychic,,336,48,72,48,72,48,48,2,False,2020-05-11 21:00:00
217,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,2020-05-17 15:00:00
218,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,2020-06-11 21:00:00
219,204,Pineco,Bug,,290,50,65,90,35,35,15,2,False,2020-05-22 05:00:00
220,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,2020-05-21 22:00:00
221,206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,2020-05-24 00:00:00
222,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,2020-05-26 05:00:00
223,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,2020-06-07 00:00:00
224,208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False,2020-06-13 00:00:00
225,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,2020-06-11 01:00:00
226,210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,2020-06-07 00:00:00
227,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,2020-05-30 12:00:00
228,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,2020-05-26 17:00:00
229,212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False,2020-05-05 02:00:00
230,213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,2020-06-09 17:00:00
231,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,2020-05-22 16:00:00
232,214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False,2020-05-31 03:00:00
233,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,2020-05-23 02:00:00
234,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,2020-05-24 00:00:00
235,217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,2020-06-05 01:00:00
236,218,Slugma,Fire,,250,40,40,40,70,40,20,2,False,2020-05-19 17:00:00
237,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,2020-05-11 15:00:00
238,220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,2020-05-28 17:00:00
239,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,2020-05-31 07:00:00
240,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,2020-06-01 12:00:00
241,223,Remoraid,Water,,300,35,65,35,65,35,65,2,False,2020-05-25 03:00:00
242,224,Octillery,Water,,480,75,105,75,105,75,45,2,False,2020-06-03 14:00:00
243,225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,2020-06-15 07:00:00
244,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,2020-05-30 02:00:00
245,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,2020-05-16 10:00:00
246,228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,2020-05-20 06:00:00
247,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,2020-05-13 08:00:00
248,229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False,2020-06-06 02:00:00
249,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,2020-06-25 15:00:00
250,231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,2020-06-06 09:00:00
251,232,Donphan,Ground,,500,90,120,120,60,60,50,2,False,2020-05-31 15:00:00
252,233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,2020-06-07 20:00:00
253,234,Stantler,Normal,,465,73,95,62,85,65,85,2,False,2020-06-07 04:00:00
254,235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,2020-05-20 08:00:00
255,236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False,2020-05-26 20:00:00
256,237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False,2020-05-28 14:00:00
257,238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,2020-05-12 17:00:00
258,239,Elekid,Electric,,360,45,63,37,65,55,95,2,False,2020-05-19 10:00:00
259,240,Magby,Fire,,365,45,75,37,70,55,83,2,False,2020-05-20 07:00:00
260,241,Miltank,Normal,,490,95,80,105,40,70,100,2,False,2020-06-05 23:00:00
261,242,Blissey,Normal,,540,255,10,10,75,135,55,2,False,2020-06-05 23:00:00
262,243,Raikou,Electric,,580,90,85,75,115,100,115,2,True,2020-06-16 12:00:00
263,244,Entei,Fire,,580,115,115,85,90,75,100,2,True,2020-06-01 15:00:00
264,245,Suicune,Water,,580,100,75,115,90,115,85,2,True,2020-06-01 14:00:00
265,246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,2020-06-04 22:00:00
266,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,2020-06-06 12:00:00
267,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,2020-06-03 06:00:00
268,248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False,2020-05-18 19:00:00
269,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,2020-05-12 00:00:00
270,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,2020-05-25 09:00:00
271,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,2020-05-31 16:00:00
272,252,Treecko,Grass,,310,40,45,35,65,55,70,3,False,2020-07-01 21:00:00
273,253,Grovyle,Grass,,405,50,65,45,85,65,95,3,False,2020-06-24 05:00:00
274,254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False,2020-06-09 20:00:00
275,254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False,2020-06-28 17:00:00
276,255,Torchic,Fire,,310,45,60,40,70,50,45,3,False,2020-06-07 03:00:00
277,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,2020-07-16 05:00:00
278,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,2020-07-06 06:00:00
279,257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False,2020-07-12 20:00:00
280,258,Mudkip,Water,,310,50,70,50,50,50,40,3,False,2020-07-02 20:00:00
281,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,2020-06-23 02:00:00
282,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,2020-07-24 23:00:00
283,260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False,2020-07-01 12:00:00
284,261,Poochyena,Dark,,220,35,55,35,30,30,35,3,False,2020-06-12 11:00:00
285,262,Mightyena,Dark,,420,70,90,70,60,60,70,3,False,2020-07-03 10:00:00
286,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,2020-07-07 09:00:00
287,264,Linoone,Normal,,420,78,70,61,50,61,100,3,False,2020-06-20 11:00:00
288,265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False,2020-06-29 21:00:00
289,266,Silcoon,Bug,,205,50,35,55,25,25,15,3,False,2020-06-18 17:00:00
